"Plot Title: 11009652"
"#","Date Time, GMT-06:00","DO conc, mg/L (LGR S/N: 11009652, SEN S/N: 11009652, LBL: DO)","Temp, °F (LGR S/N: 11009652, SEN S/N: 11009652, LBL: Temp)","Coupler Attached (LGR S/N: 11009652)","Host Connected (LGR S/N: 11009652)","Stopped (LGR S/N: 11009652)","End Of File (LGR S/N: 11009652)"
298,12/07/18 04:30:00 AM,4.54,37.54,,,,
299,12/07/18 05:00:00 AM,4.34,37.58,,,,
300,12/07/18 05:30:00 AM,4.38,37.54,,,,
301,12/07/18 06:00:00 AM,4.46,37.58,,,,
302,12/07/18 06:30:00 AM,4.20,37.62,,,,
303,12/07/18 07:00:00 AM,4.85,37.58,,,,
304,12/07/18 07:30:00 AM,4.61,37.62,,,,
305,12/07/18 08:00:00 AM,5.27,37.51,,,,
306,12/07/18 08:30:00 AM,4.81,37.62,,,,
307,12/07/18 09:00:00 AM,8.38,37.08,,,,
308,12/07/18 09:30:00 AM,6.31,37.29,,,,
309,12/07/18 10:00:00 AM,6.77,37.33,,,,
310,12/07/18 10:30:00 AM,6.23,37.29,,,,
311,12/07/18 11:00:00 AM,6.00,37.00,,,,
312,12/07/18 11:30:00 AM,6.01,37.26,,,,
313,12/07/18 12:00:00 PM,5.43,37.29,,,,
314,12/07/18 12:30:00 PM,5.31,37.33,,,,
315,12/07/18 01:00:00 PM,5.25,37.33,,,,
316,12/07/18 01:30:00 PM,5.45,37.36,,,,
317,12/07/18 02:00:00 PM,5.02,37.44,,,,
318,12/07/18 02:30:00 PM,7.37,37.08,,,,
319,12/07/18 03:00:00 PM,6.25,37.29,,,,
320,12/07/18 03:30:00 PM,5.51,37.26,,,,
321,12/07/18 04:00:00 PM,5.44,37.26,,,,
322,12/07/18 04:30:00 PM,7.96,37.18,,,,
323,12/07/18 05:00:00 PM,8.07,37.11,,,,
324,12/07/18 05:30:00 PM,7.46,37.04,,,,
325,12/07/18 06:00:00 PM,5.90,36.97,,,,
326,12/07/18 06:30:00 PM,5.08,37.08,,,,
327,12/07/18 07:00:00 PM,5.39,37.18,,,,
328,12/07/18 07:30:00 PM,5.19,37.22,,,,
329,12/07/18 08:00:00 PM,5.53,37.18,,,,
330,12/07/18 08:30:00 PM,4.92,37.22,,,,
331,12/07/18 09:00:00 PM,4.85,37.22,,,,
332,12/07/18 09:30:00 PM,4.89,37.18,,,,
333,12/07/18 10:00:00 PM,5.21,37.26,,,,
334,12/07/18 10:30:00 PM,5.32,37.26,,,,
335,12/07/18 11:00:00 PM,4.89,37.29,,,,
336,12/07/18 11:30:00 PM,5.04,37.29,,,,
337,12/08/18 12:00:00 AM,5.22,37.33,,,,
338,12/08/18 12:30:00 AM,5.08,37.33,,,,
339,12/08/18 01:00:00 AM,5.25,37.36,,,,
340,12/08/18 01:30:00 AM,5.28,37.33,,,,
341,12/08/18 02:00:00 AM,5.09,37.40,,,,
342,12/08/18 02:30:00 AM,5.06,37.40,,,,
343,12/08/18 03:00:00 AM,5.30,37.40,,,,
344,12/08/18 03:30:00 AM,5.04,37.44,,,,
345,12/08/18 04:00:00 AM,5.19,37.40,,,,
346,12/08/18 04:30:00 AM,5.38,37.44,,,,
347,12/08/18 05:00:00 AM,5.39,37.29,,,,
348,12/08/18 05:30:00 AM,6.10,37.22,,,,
349,12/08/18 06:00:00 AM,5.92,37.22,,,,
350,12/08/18 06:30:00 AM,5.63,37.22,,,,
351,12/08/18 07:00:00 AM,5.55,37.15,,,,
352,12/08/18 07:30:00 AM,6.09,37.29,,,,
353,12/08/18 08:00:00 AM,6.77,37.15,,,,
354,12/08/18 08:30:00 AM,6.09,37.15,,,,
355,12/08/18 09:00:00 AM,8.88,36.82,,,,
356,12/08/18 09:30:00 AM,8.11,36.79,,,,
357,12/08/18 10:00:00 AM,7.82,36.64,,,,
358,12/08/18 10:30:00 AM,6.08,36.72,,,,
359,12/08/18 11:00:00 AM,5.42,36.79,,,,
360,12/08/18 11:30:00 AM,5.68,36.90,,,,
361,12/08/18 12:00:00 PM,5.78,36.90,,,,
362,12/08/18 12:30:00 PM,8.67,36.64,,,,
363,12/08/18 01:00:00 PM,9.02,36.64,,,,
